citizen_id,claim_count,days_since_claim,amount,hour,day_of_week,frequency_score,is_fraud
715663355360,0,31,3000,10,4,0.0,0
870412773028,1,44,3000,17,2,0.022727272727272728,0
819932870879,1,49,2000,15,1,0.02040816326530612,0
350594382191,3,73,3000,14,4,0.0410958904109589,0
936794453427,4,2,2000,5,5,2.0,1
293349178103,3,56,5000,12,3,0.05357142857142857,0
992845644076,0,72,3000,13,0,0.0,0
401571915602,3,31,5000,9,0,0.0967741935483871,0
105225231706,1,30,2000,10,1,0.03333333333333333,0
546886763894,2,39,3000,15,2,0.05128205128205128,0
845778919463,0,46,2000,9,3,0.0,0
135103074955,1,31,3000,14,4,0.03225806451612903,0
939381839125,3,41,5000,14,3,0.07317073170731707,0
344277822435,2,77,2000,12,3,0.025974025974025976,0
736099002440,3,42,2000,9,0,0.07142857142857142,0
381778103971,1,37,2000,13,2,0.02702702702702703,0
579183594446,1,49,3000,14,2,0.02040816326530612,0
402494332827,0,40,5000,17,3,0.0,0
100282259058,1,73,2000,11,1,0.0136986301369863,0
544540889003,2,86,5000,13,3,0.023255813953488372,0
520510602637,0,70,5000,13,3,0.0,0
119938180852,0,90,3000,9,4,0.0,0
364001004093,1,75,3000,11,1,0.013333333333333334,0
415324735980,2,50,3000,10,4,0.04,0
720531818652,3,35,5000,12,1,0.08571428571428572,0
264394619527,1,77,5000,17,4,0.012987012987012988,0
558491612254,2,60,5000,10,1,0.03333333333333333,0
697108077485,1,89,3000,16,0,0.011235955056179775,0
327239162555,3,30,2000,11,3,0.1,0
318509871888,1,54,3000,12,3,0.018518518518518517,0
651045908432,0,83,3000,11,4,0.0,0
379613550086,0,43,2000,15,3,0.0,0
986135809389,0,89,5000,10,4,0.0,0
858816103953,2,44,2000,9,1,0.045454545454545456,0
525913467244,2,72,2000,16,2,0.027777777777777776,0
903173176944,0,51,5000,10,4,0.0,0
905468742670,1,58,5000,16,4,0.017241379310344827,0
226538237735,2,37,3000,13,0,0.05405405405405406,0
919519682328,1,49,3000,17,3,0.02040816326530612,0
202227811658,1,41,5000,9,2,0.024390243902439025,0
816231918743,2,78,2000,9,1,0.02564102564102564,0
461149897210,3,67,3000,12,0,0.04477611940298507,0
450311136729,2,55,2000,17,1,0.03636363636363636,0
422482690990,5,0,2000,4,5,5.0,1
264784198937,2,58,3000,10,0,0.034482758620689655,0
160498264467,0,34,3000,10,3,0.0,0
650150192961,3,44,3000,14,1,0.06818181818181818,0
873456092514,3,60,5000,14,1,0.05,0
632377716441,2,86,5000,17,1,0.023255813953488372,0
679657931514,2,89,2000,15,1,0.02247191011235955,0
401758094534,0,54,5000,11,1,0.0,0
637981074863,2,89,5000,11,2,0.02247191011235955,0
419058276919,0,74,2000,10,2,0.0,0
199091168898,0,33,2000,16,3,0.0,0
978735806949,0,82,5000,15,0,0.0,0
539433490603,2,32,2000,12,0,0.0625,0
816230755816,0,66,2000,13,4,0.0,0
431637733599,1,33,5000,15,2,0.030303030303030304,0
583215141949,1,66,2000,10,3,0.015151515151515152,0
